personId,playerName,Position,Season Type,Games Played,Total Minutes,Avg Points,Avg Rebounds,Avg Assists,Avg Minutes,Pts Per 36,Reb Per 36,Ast Per 36,Scoring Percentile,Rebounding Percentile,Playmaking Percentile,Role Classification,Scoring Label,Rebounding Label,Playmaking Label
202710,Jimmy Butler,Forward,Playoffs,130,4851.92,21.1,6.2,4.7,37.3,20.37,5.99,4.51,94.3,45.5,95.9,All-Star,Great Scorer,Average Rebounder,Elite Playmaker
185,Chris Webber,Center,Regular Season,686,25452,21,9.9,4.3,37.1,20.38,9.62,4.14,94.8,48.1,97.6,All-Star,Great Scorer,Average Rebounder,Elite Playmaker
1642843,Cooper Flagg,Forward,Regular Season,70,2328.31,21,6.7,4.5,33.3,22.78,7.21,4.89,98.3,64.2,97.3,Potential Starter,Elite Scorer,Good Rebounder,Elite Playmaker
1628368,De'Aaron Fox,Guard,Regular Season,599,19472.93,21,3.9,6.1,32.5,23.29,4.29,6.8,97.7,62,87.3,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
1630178,Tyrese Maxey,Guard,Regular Season,384,12524.86,21,3.2,4.8,32.6,23.22,3.52,5.27,97.4,28.6,62,All-Star,Elite Scorer,Limited Rebounder,Good Playmaker
201566,Russell Westbrook,Guard,Regular Season,1297,42335.97,20.9,6.9,8,32.6,23.08,7.66,8.79,97.2,98.9,97.9,All-Star,Elite Scorer,Elite Rebounder,Elite Playmaker
200746,LaMarcus Aldridge,Center,Playoffs,72,2631,20.8,8.5,1.7,36.5,20.44,8.4,1.63,94.9,32.6,63.8,All-Star,Great Scorer,Average Rebounder,Good Playmaker
202331,Paul George,Forward,Playoffs,125,4783.76,20.8,7.2,4,38.3,19.54,6.75,3.81,92.8,56.6,91.5,All-Star,Great Scorer,Average Rebounder,Great Playmaker
1717,Dirk Nowitzki,Forward,Regular Season,1522,50652,20.7,7.5,2.4,33.3,22.43,8.17,2.59,98.1,76.9,70.6,All-Star,Elite Scorer,Good Rebounder,Good Playmaker
2240,Gilbert Arenas,Guard,Regular Season,552,19090,20.7,3.9,5.3,34.6,21.5,4.09,5.49,95.4,53,65.9,All-Star,Elite Scorer,Average Rebounder,Good Playmaker
202695,Kawhi Leonard,Forward,Regular Season,793,24842.13,20.7,6.4,3.1,31.3,23.82,7.32,3.56,99.1,66.5,88.5,All-Star,Elite Scorer,Good Rebounder,Great Playmaker
1630163,LaMelo Ball,Guard,Regular Season,298,9103.63,20.7,5.7,7.4,30.5,24.4,6.73,8.66,98.4,97,97.7,All-Star,Elite Scorer,Elite Rebounder,Elite Playmaker
203897,Zach LaVine,Guard,Regular Season,689,22237.07,20.7,4,3.9,32.3,23.06,4.46,4.32,97,67.2,44.7,All-Star,Elite Scorer,Good Rebounder,Average Playmaker
1630578,Alperen Sengun,Center,Playoffs,13,486.1166667,20.6,11.1,5,37.4,19.85,10.66,4.81,93.6,74.2,99.6,Starter,Great Scorer,Good Rebounder,Elite Playmaker
299,Glenn Robinson,Forward,Regular Season,526,18875,20.6,6,2.6,35.9,20.63,6.05,2.65,95.6,41.9,73.2,All-Star,Elite Scorer,Average Rebounder,Good Playmaker
203114,Khris Middleton,Forward,Playoffs,80,2966,20.6,6.5,4.8,37.1,20.03,6.32,4.65,93.6,50.1,96.9,Starter,Great Scorer,Average Rebounder,Elite Playmaker
1495,Tim Duncan,Center,Playoffs,251,9240,20.6,11.4,3,36.8,20.15,11.14,2.98,94.1,80.1,90.3,All-Star,Great Scorer,Great Rebounder,Great Playmaker
1630532,Franz Wagner,Forward,Playoffs,16,571.2433333,20.5,5.9,4.6,35.7,20.67,5.92,4.6,95.1,44.3,96.5,All-Star,Elite Scorer,Average Rebounder,Elite Playmaker
202331,Paul George,Forward,Regular Season,941,31065.18,20.4,6.2,3.7,33,22.29,6.78,4.05,97.8,55.9,92.8,All-Star,Elite Scorer,Average Rebounder,Great Playmaker
2732,Ben Gordon,Guard,Playoffs,29,1084,20.2,3.2,3.2,37.4,19.49,3.12,3.06,89,16.1,35.5,Starter,Great Scorer,Limited Rebounder,Average Playmaker
203468,CJ McCollum,Guard,Playoffs,73,2542.046667,20,4.3,3,34.8,20.66,4.46,3.07,92.2,66.2,35.9,All-Star,Great Scorer,Good Rebounder,Average Playmaker
101108,Chris Paul,Guard,Playoffs,149,5366,20,4.9,8.3,36,20,4.9,8.27,90.1,76.1,97.7,Starter,Great Scorer,Good Rebounder,Elite Playmaker
1630567,Scottie Barnes,Forward,Playoffs,11,403.8733333,20,7.2,7,36.7,19.61,7.04,6.86,93.1,63.6,99.5,Starter,Great Scorer,Good Rebounder,Elite Playmaker
358,Anfernee Hardaway,Forward,Playoffs,28,1174,19.9,5.3,5,41.9,17.05,4.54,4.26,86.2,17.5,94.6,Starter,Great Scorer,Limited Rebounder,Great Playmaker
1630224,Jalen Green,Guard,Regular Season,334,10558.78,19.9,4.2,3.3,31.6,22.62,4.78,3.78,96.6,76.4,37.3,All-Star,Elite Scorer,Good Rebounder,Average Playmaker
1627759,Jaylen Brown,Forward,Regular Season,669,20436.95,19.9,5.5,2.9,30.5,23.51,6.47,3.41,98.6,51.1,86.9,All-Star,Elite Scorer,Average Rebounder,Great Playmaker
